Address,type,Areas,Floors,YearBuilt
304 EAST 12 STREET,Residential,32160,5,1940
313 EAST 5 STREET,Residential,4850,6,1940
160 EAST 3 STREET,Residential,16998,6,1940
58 AVENUE A,Residential,19266,6,1940
159 2 AVENUE,Residential,2658,7,1940
332 EAST 14 STREET,Commercial,2323,5,1945
104 AVENUE B,Residential,1290,6.5,1945
206 EAST 11 STREET,Residential,3420,1,1949
131 1 AVENUE,Residential,1375,1,1950
160 EAST 2 STREET,Residential,6784,4,1950
121 EAST 10 STREET,Residential,2364,6,1950
205 2 AVENUE,Residential,2823,6,1950
185 EAST 3 STREET,Residential,7188,6,1950
223 AVENUE A,Commercial,4564,1,1951
188 EAST 2 STREET,Residential,2544,1,1951
195 EAST 3 STREET,Residential,2308,2,1951
235 1 AVENUE,Commercial,2595,6,1951
130 2 AVENUE,Residential,2380,2,1954
284 EAST 10 STREET,Residential,2306,5,1954
179 1 AVENUE,Residential,70764,2,1955
238 EAST 4 STREET,Residential,2212,6,1955
3 TARAS SHEVCHENKO PL,Residential,13428,6,1956
34 AVENUE B,Residential,1906,2,1958
85 4 AVENUE,Commercial,26097,7,1959
32 AVENUE A,Residential,1672,4,1960
422 EAST 14 STREET,Commercial,2581,5,1960
137 EAST 2 STREET,Residential,8790,3,1962
66 1 AVENUE,Residential,244775,21,1962
114 3 AVENUE,Commercial,2588,2,1964
40 1 AVENUE,Residential,64082,16,1964
111 3 AVENUE,Commercial,10512,17,1964
137 4 AVENUE,Commercial,20040,17,1964
60 1 AVENUE,Residential,40955,21,1964
540 EAST 13 STREET,Residential,6681,1,1965
342 EAST 14 STREET,Commercial,20856,4,1965
525 EAST 11 STREET,Residential,2581,8,1965
30 3 AVENUE,Commercial,20165,20,1965
224 2 AVENUE,Commercial,20707,9,1967
46 2 AVENUE,Commercial,7500,1,1969
52 AVENUE A,Residential,11540,1,1969
542 EAST 5 STREET,Residential,14076,6,1970
117 EAST 2 STREET,Residential,51645,20,1971
327 EAST 13 STREET,Commercial,14255,15,1973
6 TARAS SHEVCHENKO PL,Residential,10444,1,1976
104 1 AVENUE,Residential,2975,1,1977
63 COOPER SQUARE,Commercial,5075,6,1984
114 EAST 13 STREET,Commercial,7812,12,1985
1 COOPER SQUARE,Commercial,22270,14,1985
55 3 AVENUE,Commercial,13147,12,1986
31 3 AVENUE,Commercial,27583,16,1986
67 EAST 3 STREET,Residential,3847,5,1987
79 ST MARKS PLACE,Residential,1398,5.5,1987
239 EAST 10 STREET,Residential,2369,6,1987
57 4 AVENUE,Commercial,3020,1,1988
125 EAST 12 STREET,Commercial,11417,5,1988
320 EAST 9 STREET,Residential,2254,7,1988
67 3 AVENUE,Commercial,36022,14,1988
250 EAST HOUSTON STREET,Residential,33650,13,1989
131 EAST 12 STREET,Commercial,6055,16,1989
254 EAST 10 STREET,Residential,2583,6,1990
85 AVENUE A,Residential,7270,9,1991
24 EAST 7 STREET,Residential,8853,12,1991
124 EAST 14 STREET,Commercial,15450,2,1993
113 EAST 13 STREET,Commercial,15450,12,1994
42 AVENUE A,Residential,7212,5,1995
165 EAST 2 STREET,Residential,7844,5,1996
223 EAST 6 STREET,Residential,17727,6,1996
60 EAST 1 STREET,Residential,2500,5,1997
24 AVENUE B,Residential,15011,6,1997
88 EAST 4 STREET,Residential,14100,9,1997
174 AVENUE A,Residential,9837,7,1998
106 EAST 14 STREET,Commercial,18447,20,1998
503 EAST 13 STREET,Commercial,11421,4,1999
549 EAST 11 STREET,Residential,5702,4,1999
511 EAST 11 STREET,Residential,7744,4,1999
65 EAST 3 STREET,Residential,1923,7,1999
240 EAST 10 STREET,Residential,17441,15,1999
126 EAST 14 STREET,Commercial,41950,16,1999
535 EAST 5 STREET,Residential,8934,6,2000
421 EAST 12 STREET,Residential,2512,6,2001
416 EAST 11 STREET,Residential,4740,7,2001
1 EAST 2 STREET,Residential,11985,12,2001
220 EAST 6 STREET,Residential,7275,3,2002
56 EAST 1 STREET,Residential,2340,4,2002
172 AVENUE B,Residential,1750,6,2002
527 EAST 13 STREET,Commercial,3872,8,2002
29 EAST 2 STREET,Commercial,6434,6,2003
81 EAST 3 STREET,Residential,4809,13,2003
339 BOWERY,Commercial,12204,16,2003
125 EAST 4 STREET,Residential,4784,6,2004
323 EAST 5 STREET,Residential,4850,6,2004
3 EXTRA PLACE,Commercial,9435,6,2005
56 ST MARKS PLACE,Residential,4876,8,2005
285 BOWERY,Residential,35772,9,2005
47 3 AVENUE,Commercial,6726,6,2006
421 EAST 13 STREET,Commercial,16131,8,2006
108 3 AVENUE,Commercial,7500,21,2006
25 COOPER SQUARE,Commercial,11662,21,2006
120 EAST 12 STREET,Commercial,17645,23,2006
525 EAST 12 STREET,Residential,2272,6,2007
266 EAST 10 STREET,Residential,2300,6,2007
420 EAST 11 STREET,Residential,2369,6,2007
62 EAST 1 STREET,Residential,3414,6.5,2007
21 2 AVENUE,Residential,25839,7,2007
52 EAST 4 STREET,Commercial,5793,15,2007
41 COOPER SQUARE,Commercial,18175,2,2008
528 EAST 6 STREET,Residential,2433,6,2008
427 EAST 12 STREET,Residential,2504,6,2008
229 EAST 13 STREET,Commercial,5163,8,2008
311 EAST 11 STREET,Residential,8397,8,2008
92 EAST 7 STREET,Residential,1953,6,2009
530 EAST 5 STREET,Residential,3717,6,2009
531 EAST 12 STREET,Residential,5163,7.5,2009
123 3 AVENUE,Commercial,4426,17,2009
331 EAST 6 STREET,Residential,2271,6,2012
84 3 AVENUE,Commercial,12900,9,2012
11 2 AVENUE,Commercial,9860,12,2012
51 ASTOR PLACE,Commercial,36003,14,2012
327 EAST 9 STREET,Residential,1845,6,2013
208 EAST 14 STREET,Commercial,22922,8,2013
535 EAST 11 STREET,Residential,5162,8,2013
35 COOPER SQUARE,Commercial,4837,13,2014
